,index,Año_encuesta,Region,PIA,PIM,Certificacion,Compromiso_anual,Atencion_compromiso_mensual,Devengado,Girado,%_avance,indice_anemia
52,52,2014,APURIMAC,27693793,45962338,45261068,45261068,45261068,45238028,45228924,98.4,0.530101244
53,53,2014,AREQUIPA,15639397,37945273,37182100,37182096,37182096,37167586,37133998,98.0,0.391648273
54,54,2014,AYACUCHO,49502828,147497406,141734889,141730796,141730796,140911462,140904631,95.5,0.457801553
55,55,2014,CAJAMARCA,41044909,96316564,89869230,89775394,89775394,89449235,89253244,92.9,0.485376003
56,56,2014,CUSCO,26905871,54141938,53419618,53346247,53346247,53218336,53156447,98.3,0.562806342
57,57,2014,HUANCAVELICA,63452087,75708232,70253591,70228348,70228348,69780633,69719670,92.2,0.636908184
58,58,2014,HUANUCO,28486554,58486171,54861233,54861233,54861233,53907556,53883054,92.2,0.442771778
59,59,2014,ICA,19570339,42334071,34836062,34831216,34831216,34820963,34813493,82.3,0.367737894
60,60,2014,JUNIN,30795067,49330495,48277660,48277660,48277660,48236199,48227494,97.8,0.640148461
61,61,2014,LA LIBERTAD,42704679,74223397,69112423,69112423,69112423,69055951,69053183,93.0,0.408556688
62,62,2014,LAMBAYEQUE,23493198,41095222,37472475,37472327,37464827,37339422,37329895,90.9,0.357533105
63,63,2014,LORETO,24278627,48341994,45690849,45683964,45683964,45229153,45201375,93.6,0.59205945
64,64,2014,MADRE DE DIOS,19623127,8058417,7457465,7457465,7457285,7456365,7455611,92.5,0.684137994
65,65,2014,MOQUEGUA,14570047,25553067,25459466,25454088,25454088,25435642,25434022,99.5,0.36141388
66,66,2014,PASCO,10647504,16566819,15797306,15796260,15796260,15795102,15795092,95.3,0.606135747
67,67,2014,PIURA,44448789,73481960,70948115,70921992,70921992,70751810,70732309,96.3,0.439092409
68,68,2014,PUNO,55743819,63675472,59944468,59921328,59921328,59827432,59762028,94.0,0.819878591
69,69,2014,SAN MARTIN,21627202,35706910,34149251,34131941,34114653,34040926,34025525,95.3,0.476145012
70,70,2014,TACNA,9846342,18121301,17968507,17400139,17397925,17345881,17345881,95.7,0.414549061
71,71,2014,TUMBES,13336550,16781735,16512766,16512766,16512766,16506326,16505926,98.4,0.522392384
72,72,2014,UCAYALI,21442586,35503727,34191063,34191063,34191063,34113380,34104420,96.1,0.595563742
73,73,2014,LIMA,24641194,42184328,41460266,41369316,41121286,40730271,40711733,96.6,0.559283561
74,74,2014,CALLAO,22959168,32693135,31563749,31563749,31563749,31518939,31499994,96.4,0.437670722
75,75,2015,AMAZONAS,60629868,49368205,47503716,47493915,47493915,47471157,47436508,96.2,0.451241575
76,76,2015,ANCASH,31400083,52435481,48562685,48554817,48554817,48513064,48511552,92.5,0.507579763
77,77,2015,APURIMAC,36915506,57555681,56579087,56572925,56572925,56538878,56446561,98.2,0.567951305
78,78,2015,AREQUIPA,23230769,34897204,33539585,33526992,33526992,33509350,33498170,96.0,0.420200938
79,79,2015,AYACUCHO,52965359,80052248,78410780,78410779,78410779,78132187,78121573,97.6,0.500912272
80,80,2015,CAJAMARCA,55787461,92848726,90722862,90715292,90715292,90462796,90433588,97.4,0.354971178
81,81,2015,CUSCO,35021274,51977292,51604823,51594304,51594304,51563242,51562014,99.2,0.53087378
82,82,2015,HUANCAVELICA,61438238,73275295,72435475,72428049,72428049,72271146,72207161,98.6,0.53417076
83,83,2015,HUANUCO,40091542,58535846,56167965,56166285,56167529,56070117,56042281,95.8,0.42859394
84,84,2015,ICA,23495217,32872910,31552075,31550712,31550712,31486586,31483064,95.8,0.446306886
85,85,2015,JUNIN,36691174,56645821,54532726,54157368,54157368,53989001,53985032,95.3,0.53948865
86,86,2015,LA LIBERTAD,55081411,115833803,89983748,89983748,89983748,89523201,89500918,77.3,0.340258566
87,87,2015,LAMBAYEQUE,23865875,35505638,34577028,34565253,34565253,34536514,34528167,97.3,0.359761733
88,88,2015,LORETO,26874913,50547665,49778409,49771527,49771527,49043387,49007826,97.0,0.556284585
89,89,2015,MADRE DE DIOS,5896849,10044481,8047033,8046534,8046534,8031472,8028098,80.0,0.581633055
90,90,2015,MOQUEGUA,18584658,25037311,23714335,23681573,23681573,23625065,23624443,94.4,0.39271388
91,91,2015,PASCO,12238860,26198688,24146262,16018254,16018254,16015367,16014639,61.1,0.561135425
92,92,2015,PIURA,58248139,81126620,80279063,80021272,80021272,79984345,79934633,98.6,0.359291855
93,93,2015,PUNO,57257976,78125109,74705383,74648821,74648821,74430270,74393375,95.3,0.760346633
94,94,2015,SAN MARTIN,29473310,45974964,45100046,44845974,44845983,44832591,44801705,97.5,0.447324652
95,95,2015,TACNA,15825278,21278737,20572841,20572481,20572481,20544237,20525186,96.5,0.388946045
96,96,2015,TUMBES,13515907,17497289,17271300,17271300,17271300,17252037,17251847,98.6,0.483735554
97,97,2015,UCAYALI,21349315,33751482,32956875,32911369,32911369,32733150,32728720,97.0,0.543117185
98,98,2015,LIMA,33421311,50196473,49776274,49694442,49694319,49189628,49013253,98.0,0.487200283
99,99,2015,CALLAO,22499898,34527913,33735629,33735629,33735629,33705558,33688890,97.6,0.343359433
100,100,2016,AMAZONAS,57886105,49813884,49260030,49125799,49125799,49090171,49086137,98.5,0.446326086
101,101,2016,ANCASH,41138820,59663029,58211178,58171442,58171442,58127001,58027402,97.4,0.412788526
102,102,2016,APURIMAC,48119011,61606960,60519612,59981122,59981122,59964839,59950925,97.3,0.534558354
103,103,2016,AREQUIPA,31169345,44830465,43680274,43346338,43346338,43342563,43221882,96.7,0.445215539
104,104,2016,AYACUCHO,59443691,85140098,83514148,83013867,83013867,82995042,82913117,97.5,0.528191523
105,105,2016,CAJAMARCA,67078903,105815416,103685538,102816868,102816868,102779359,102692724,97.1,0.303236824
106,106,2016,CUSCO,41960188,63337156,62390102,62350588,62350588,62133691,62131141,98.1,0.566415344
107,107,2016,HUANCAVELICA,57295249,75396009,74803819,74777034,74777034,74432998,74423294,98.7,0.580674974
108,108,2016,HUANUCO,46748827,63921968,63522456,63492181,63492181,63437220,63409115,99.2,0.469662664
109,109,2016,ICA,23845884,33406969,31216057,31185317,31185317,31172686,31132050,93.3,0.411251068
110,110,2016,JUNIN,43615220,60888457,60089504,60088385,60088385,60070852,60063451,98.7,0.559439141
111,111,2016,LA LIBERTAD,68394853,99298683,89689666,88649692,88649692,88565783,88555947,89.2,0.357126338
112,112,2016,LAMBAYEQUE,26149973,39233234,38806738,38004367,38004367,37980368,37976754,96.8,0.383177732
113,113,2016,LORETO,39456527,55273414,55138261,55136816,55136816,55094667,55073645,99.7,0.607286495
114,114,2016,MADRE DE DIOS,6961157,12032867,10746554,10563581,10563581,10552099,10548682,87.7,0.556485605
115,115,2016,MOQUEGUA,20942328,27523976,25612006,25516040,25516040,25513287,25507377,92.7,0.381407047
116,116,2016,PASCO,12906862,21576851,20209727,20207663,20207663,20199464,20192178,93.6,0.606152393
117,117,2016,PIURA,64126213,79093334,78467465,78228247,78228247,78075171,77894903,98.7,0.427920756
118,118,2016,PUNO,55001525,79772679,78243438,77920743,77920743,77841024,77828468,97.6,0.759262648
119,119,2016,SAN MARTIN,32243208,48543564,45008545,44975106,44975106,44725919,44723293,92.1,0.483327512
120,120,2016,TACNA,21663245,28384472,27484027,27307645,27307645,27174536,27173748,95.7,0.350864415
121,121,2016,TUMBES,14421645,17111488,17036739,17035334,17020334,17017860,17008513,99.5,0.488272245
122,122,2016,UCAYALI,25228366,36604912,36049159,35768226,35768226,35755173,35752878,97.7,0.570842425
123,123,2016,LIMA,39923223,54107057,53200787,53115127,53115127,53068314,53019092,98.1,0.408636464
124,124,2016,CALLAO,23615919,34312506,32792453,32664839,32664839,32642500,32639055,95.1,0.438000527
125,125,2017,AMAZONAS,38759895,49980395,48075342,48075324,48048324,48014343,47996181,96.1,0.511572357
126,126,2017,ANCASH,51650401,62284807,60215433,58690636,58684436,58633522,58629576,94.1,0.428482467
127,127,2017,APURIMAC,50441761,60251848,58906553,58891746,58827184,58699919,58685265,97.4,0.542090877
128,128,2017,AREQUIPA,35982224,45724545,44467686,44225366,44225366,44219824,44127487,96.7,0.3415621
129,129,2017,AYACUCHO,70238069,84955335,81769700,81632957,81632957,81465338,81453398,95.9,0.483281817
130,130,2017,CAJAMARCA,85291030,106051715,104565840,103643369,103361263,103048374,102982577,97.2,0.375908312
131,131,2017,CUSCO,60636564,71842712,68138557,68150628,68144621,68085078,68084826,94.8,0.55321073
132,132,2017,HUANCAVELICA,60350666,90466963,88434738,87984792,81844981,81734880,81699446,90.3,0.546789211
133,133,2017,HUANUCO,55689082,70335476,68475144,67862702,67862702,67839212,67811187,96.5,0.447058237
134,134,2017,ICA,26268441,35128496,33939532,33924683,33924683,33901764,33896695,96.5,0.405051407
135,135,2017,JUNIN,49356464,57792843,57206030,54962941,54962941,54946776,54942873,95.1,0.533492662
136,136,2017,LA LIBERTAD,63763145,112525958,102493000,94180301,94180301,94124525,94101116,83.6,0.417732821
137,137,2017,LAMBAYEQUE,30217387,40164515,37683302,37166457,37166457,37135086,37120696,92.5,0.376449791
138,138,2017,LORETO,45359531,63296980,61551705,61416661,61416661,61280394,61247660,96.8,0.615462534
139,139,2017,MADRE DE DIOS,7501347,12410100,11059827,10881044,10859085,10770858,10770026,86.8,0.573088972
140,140,2017,MOQUEGUA,22640082,30615236,28195070,28082168,26994741,26971863,26956805,88.1,0.372343996
141,141,2017,PASCO,16286357,23624175,20990280,20938815,20938815,20901140,20898630,88.5,0.580257958
142,142,2017,PIURA,66386138,77146102,75038609,74226108,74219108,74117525,74117230,96.1,0.422526453
143,143,2017,PUNO,68814883,85232771,82808733,82692011,82691843,82682571,82667055,97.0,0.758583616
144,144,2017,SAN MARTIN,38429686,48790172,44448416,43897657,43897657,43891006,43886109,90.0,0.506854195
145,145,2017,TACNA,24773586,30758670,29234377,28973712,28941712,28938290,28926407,94.1,0.369618834
146,146,2017,TUMBES,16329950,18814481,18123067,18121753,18121664,18120143,18110706,96.3,0.467950082
147,147,2017,UCAYALI,29853313,43363084,41625386,41333463,41299527,40339683,40315661,93.0,0.591348274
148,148,2017,LIMA,43657244,57027173,56007254,55756174,55630923,55516891,55512062,97.4,0.439017161
149,149,2017,CALLAO,21104085,29354931,27653853,27645264,27643220,27633020,27624807,94.1,0.323878788
150,150,2018,AMAZONAS,50968824,62901491,59846682,59523073,56836099,56609032,56565045,90.0,0.445131318
151,151,2018,ANCASH,59133222,79745914,76073655,71197677,71149347,71046935,71037019,89.1,0.457392939
152,152,2018,APURIMAC,53501009,63384082,61917286,61823749,61767342,61683116,61678467,97.3,0.532126948
153,153,2018,AREQUIPA,39172690,52611622,50626804,50397599,50397599,50395179,50393169,95.8,0.383868861
154,154,2018,AYACUCHO,74752274,92629711,90960213,90344394,90297748,90260703,90252376,97.4,0.493340907
